scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,False,base,5,High-burden enteric outbreak,0.1,0.2,1905266917.2283173,52976298.698916554,35.96451552904134,38105338.34456635,1059525.9739783313,231.75554922550896,6.463851949066473,24.92210610640265,A_screening_only_without_avian
A_screening_only,False,base,10,SARS-like respiratory virus,0.02,0.2,24071200191.34854,801437536.7310243,30.03502966623241,96284800.76539417,3205750.146924097,6643.490041134066,221.1917080288843,41.926653927742436,A_screening_only_without_avian
A_screening_only,False,base,10,Ebola-like viral haemorrhagic fever,0.005,0.2,41594103871.68938,1386435750.2052023,30.00074389709956,41594103.87168938,1386435.7502052023,11779.018443196537,392.6241918663443,18.11190950804428,A_screening_only_without_avian
A_screening_only,False,base,10,Mpox-like orthopoxvirus,0.02,0.2,12798770222.608719,426595472.0427035,30.002123935641592,51195080.890434876,1706381.8881708141,3597.530187209947,119.90919447050297,22.29259885499495,A_screening_only_without_avian
A_screening_only,False,base,10,High-burden enteric outbreak,0.1,0.2,2028829347.4601345,56175592.903420955,36.11585107696449,40576586.9492027,1123511.8580684194,250.14515752394777,6.966731638186481,17.668837709218344,A_screening_only_without_avian
A_screening_only,False,base,14,SARS-like respiratory virus,0.02,0.2,28171013575.432796,937837818.2255151,30.038257178341592,112684054.30173118,3751351.2729020608,7778.8225974114175,258.964418396031,41.76157657650544,A_screening_only_without_avian
A_screening_only,False,base,14,Ebola-like viral haemorrhagic fever,0.005,0.2,51964104510.632935,1732088540.6025465,30.000836153881625,51964104.51063293,1732088.5406025464,14718.435048108924,490.60080317059226,19.258296510520474,A_screening_only_without_avian
A_screening_only,False,base,14,Mpox-like orthopoxvirus,0.02,0.2,16163476730.378876,538739647.234667,30.00238949062961,64653906.9215155,2154958.588938668,4545.655692823492,151.50981231676363,23.961234813607906,A_screening_only_without_avian
A_screening_only,False,base,14,High-burden enteric outbreak,0.1,0.2,2026252109.731101,55967073.64774212,36.20436048674569,40525042.194622025,1119341.4729548427,252.71061018496528,7.037563658567738,15.018892099366196,A_screening_only_without_avian
A_screening_only,False,high,2,SARS-like respiratory virus,0.05,0.4,7208721180.625837,240136917.41750735,30.01921261482921,144174423.61251676,4802738.348350148,1987.9112833678712,66.22130191598262,33.0141344469175,A_screening_only_without_avian
