scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_aus,Bd_base,ratio_Bd,ev_aus,ev_base,deaths_averted_aus,deaths_averted_base,pct_of_portfolio_ev_aus
A,True,base,10,High-burden enteric outbreak,0.1,0.2,122502735.30671442,56175592.903420955,2.1807110343690614,2450054.7061342886,1123511.8580684194,15.932307232214711,6.966731638186481,2.4024157952235483
A,True,base,14,SARS-like respiratory virus,0.02,0.2,4901191271.865335,937837818.2255151,5.226054203208492,19604765.08746134,3751351.2729020608,1353.381998583548,258.964418396031,17.436815835634192
A,True,base,14,Avian-influenza-like respiratory virus,0.01,0.15,46638800041.82841,9385419840.594383,4.969282230732339,69958200.0627426,14078129.760891575,13133.888591664509,2643.205284226903,62.222028432601626
A,True,base,14,Ebola-like viral haemorrhagic fever,0.005,0.2,9126424725.858047,1732088540.6025465,5.269028985483163,9126424.725858048,1732088.5406025464,2584.9889987525617,490.60080317059226,8.117199388649846
A,True,base,14,Mpox-like orthopoxvirus,0.02,0.2,2837663747.0304213,538739647.234667,5.267226500956551,11350654.988121685,2154958.588938668,798.0373211312984,151.50981231676363,10.095468104756025
A,True,base,14,High-burden enteric outbreak,0.1,0.2,119656341.78220177,55967073.64774212,2.137977456804713,2393126.8356440356,1119341.4729548427,16.096324029604304,7.037563658567738,2.128488238358309
A,True,high,2,SARS-like respiratory virus,0.05,0.4,1260188665.4041674,240136917.41750735,5.247792296813636,25203773.30808335,4802738.348350148,347.515716802362,66.22130191598262,9.397987158616512
A,True,high,2,Avian-influenza-like respiratory virus,0.03,0.35,19778950058.358063,3904122779.469406,5.0661700913633005,207678975.61275965,40993289.18442876,5569.111090275571,1099.3408976633266,77.43937076665333
A,True,high,2,Ebola-like viral haemorrhagic fever,0.02,0.4,1853823955.8264818,351801365.43947506,5.269518932965651,14830591.646611854,2814410.9235158004,524.8118811080603,99.59392137991804,5.530033465459012
A,True,high,2,Mpox-like orthopoxvirus,0.05,0.4,555591899.0420732,105453196.17316249,5.268611281631971,11111837.980841467,2109063.92346325,156.02534319874258,29.614138187233756,4.143383983662594
A,True,high,2,High-burden enteric outbreak,0.25,0.4,93574959.19133198,40533645.990222424,2.308574935842294,9357495.9191332,4053364.5990222427,11.45833178346566,4.901952291033176,3.4892246256085633
A,True,high,5,SARS-like respiratory virus,0.05,0.4,2682579857.65178,512072967.3061444,5.238667199645381,53651597.15303561,10241459.34612289,739.9757245699767,141.2521832429569,10.897947483436415
A,True,high,5,Avian-influenza-like respiratory virus,0.03,0.35,34980888545.6154,6981924842.150679,5.0102069753646985,367299329.7289617,73310210.84258212,9849.552564636691,1966.0392559068287,74.60744914396534
A,True,high,5,Ebola-like viral haemorrhagic fever,0.02,0.4,4231810366.925002,803100113.2425077,5.269343506675793,33854482.93540002,6424800.905940061,1198.1512058815367,227.38157361756018,6.876670904251147
A,True,high,5,Mpox-like orthopoxvirus,0.05,0.4,1281600608.443003,243274658.64189813,5.268122111845309,25632012.168860063,4865493.172837963,360.0251640028092,68.34031811474293,5.206486616125559
A,True,high,5,High-burden enteric outbreak,0.25,0.4,118717695.80133069,52976298.698916554,2.24095866863116,11871769.58013307,5297629.869891656,14.847929111289943,6.463851949066473,2.4114458522215294
A,True,high,10,SARS-like respiratory virus,0.05,0.4,4191289749.78594,801437536.7310243,5.229714803329216,83825794.99571882,16028750.73462049,1156.7805502732426,221.1917080288843,12.609577984167208
A,True,high,10,Avian-influenza-like respiratory virus,0.03,0.35,44316000576.58044,8903850398.089415,4.9771726382655475,465318006.05409455,93490429.17993884,12478.852540252818,2507.4045917391877,69.99592052871027
A,True,high,10,Ebola-like viral haemorrhagic fever,0.02,0.4,7305318647.176246,1386435750.2052023,5.269136089497842,58442549.17740997,11091486.001641618,2068.78958474067,392.6241918663443,8.79127816782072
A,True,high,10,Mpox-like orthopoxvirus,0.05,0.4,2247106348.7031727,426595472.0427035,5.267534458214387,44942126.97406346,8531909.440854073,631.6261930410758,119.90919447050297,6.760463827187569
A,True,high,10,High-burden enteric outbreak,0.25,0.4,122502735.30671442,56175592.903420955,2.1807110343690614,12250273.530671442,5617559.290342096,15.932307232214711,6.966731638186481,1.8427594921142123
