scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,conditional_Bd_raw,expected_annual_contribution,expected_deaths_averted_per_year,cost_per_arriving_flight_contribution,n_total,pct_of_portfolio_ev,portfolio_view
A_screening_only,True,low,14,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,937837818.2255151,937837818.2255151,234459.4545563788,0.06474110459900775,16.058866750436906,10000,21.81340700795212,A_screening_only_with_avian
A_screening_only,True,low,14,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.002,0.03,6e-05,9385419840.594383,9385419840.594383,563125.190435663,0.15859231705361418,38.570218522990615,10000,52.39148491002692,A_screening_only_with_avian
A_screening_only,True,low,14,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,1732088540.6025465,1732088540.6025465,86604.42703012732,0.024530040158529613,5.931810070556666,10000,8.057417087628641,A_screening_only_with_avian
A_screening_only,True,low,14,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,538739647.234667,538739647.234667,134684.91180866674,0.03787745307919091,9.224993959497722,10000,12.530681710709683,A_screening_only_with_avian
A_screening_only,True,low,14,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,55967073.64774212,55967073.64774212,55967.07364774212,0.007037563658567738,3.8333612087494604,10000,5.2070092836826305,A_screening_only_with_avian
A_screening_only,True,base,2,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,240136917.41750735,240136917.41750735,960547.6696700294,0.2648852076639305,65.79093627876914,10000,11.433704412480713,A_screening_only_with_avian
A_screening_only,True,base,2,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.01,0.15,0.0015,3904122779.469406,3904122779.469406,5856184.169204109,1.6490113464949898,401.1085047400075,10000,69.70802271451069,A_screening_only_with_avian
A_screening_only,True,base,2,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,351801365.43947506,351801365.43947506,351801.36543947505,0.09959392137991804,24.09598393421062,10000,4.187603542595498,A_screening_only_with_avian
A_screening_only,True,base,2,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,105453196.17316249,105453196.17316249,421812.78469264996,0.11845655274893503,28.891286622784243,10000,5.020971732967612,A_screening_only_with_avian
A_screening_only,True,base,2,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,40533645.990222424,40533645.990222424,810672.9198044486,0.09803904582066354,55.525542452359495,10000,9.64969759744549,A_screening_only_with_avian
A_screening_only,True,base,5,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,512072967.3061444,512072967.3061444,2048291.8692245777,0.5650087329718276,140.29396364551903,10000,13.337922075087938,A_screening_only_with_avian
A_screening_only,True,base,5,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.01,0.15,0.0015,6981924842.150679,6981924842.150679,10472887.263226017,2.949058883860243,717.3210454264396,10000,68.19660631224923,A_screening_only_with_avian
A_screening_only,True,base,5,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,803100113.2425077,803100113.2425077,803100.1132425077,0.22738157361756017,55.00685707140464,10000,5.2295704971860255,A_screening_only_with_avian
A_screening_only,True,base,5,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,243274658.64189813,243274658.64189813,973098.6345675925,0.27336127245897174,66.65059140873922,10000,6.33655484076619,A_screening_only_with_avian
A_screening_only,True,base,5,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,52976298.698916554,52976298.698916554,1059525.9739783313,0.1292770389813295,72.57027219029666,10000,6.8993462747106165,A_screening_only_with_avian
A_screening_only,True,base,10,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,801437536.7310243,801437536.7310243,3205750.146924097,0.8847668321155372,219.5719278715135,10000,15.428686502132663,A_screening_only_with_avian
A_screening_only,True,base,10,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.01,0.15,0.0015,8903850398.089415,8903850398.089415,13355775.597134123,3.7611068876087814,914.7791504886385,10000,64.27889424842785,A_screening_only_with_avian
A_screening_only,True,base,10,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,1386435750.2052023,1386435750.2052023,1386435.7502052023,0.3926241918663443,94.96135275378097,10000,6.672660552098746,A_screening_only_with_avian
A_screening_only,True,base,10,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,426595472.0427035,426595472.0427035,1706381.8881708141,0.47963677788201187,116.87547179252152,10000,8.212502534162105,A_screening_only_with_avian
A_screening_only,True,base,10,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,56175592.903420955,56175592.903420955,1123511.8580684194,0.13933463276372965,76.95286699098763,10000,5.4072561631786575,A_screening_only_with_avian
A_screening_only,True,base,14,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,937837818.2255151,937837818.2255151,3751351.2729020608,1.035857673584124,256.9418680069905,10000,16.427450903558274,A_screening_only_with_avian
A_screening_only,True,base,14,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.01,0.15,0.0015,9385419840.594383,9385419840.594383,14078129.760891575,3.9648079263403546,964.2554630747654,10000,61.64919481988666,A_screening_only_with_avian
A_screening_only,True,base,14,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,1732088540.6025465,1732088540.6025465,1732088.5406025464,0.4906008031705923,118.63620141113331,10000,7.58494670091299,A_screening_only_with_avian
A_screening_only,True,base,14,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,538739647.234667,538739647.234667,2154958.588938668,0.6060392492670545,147.59990335196355,10000,9.436726620273348,A_screening_only_with_avian
A_screening_only,True,base,14,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,55967073.64774212,55967073.64774212,1119341.4729548427,0.14075127317135477,76.66722417498923,10000,4.9016809553687315,A_screening_only_with_avian
A_screening_only,True,high,2,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,240136917.41750735,240136917.41750735,4802738.348350148,1.3244260383196527,328.95468139384576,10000,8.768462586066198,A_screening_only_with_avian
A_screening_only,True,high,2,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.03,0.35,0.010499999999999999,3904122779.469406,3904122779.469406,40993289.18442876,11.543079425464928,2807.759533180052,10000,74.84232877623543,A_screening_only_with_avian
A_screening_only,True,high,2,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,351801365.43947506,351801365.43947506,2814410.9235158004,0.7967513710393443,192.76787147368495,10000,5.138330488718336,A_screening_only_with_avian
A_screening_only,True,high,2,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,105453196.17316249,105453196.17316249,2109063.92346325,0.5922827637446753,144.45643311392124,10000,3.850563316834104,A_screening_only_with_avian
A_screening_only,True,high,2,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,40533645.990222424,40533645.990222424,4053364.5990222427,0.4901952291033176,277.62771226179746,10000,7.400314832145952,A_screening_only_with_avian
A_screening_only,True,high,5,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,512072967.3061444,512072967.3061444,10241459.34612289,2.825043664859139,701.4698182275953,10000,10.227182798517568,A_screening_only_with_avian
