scale,scenario,avian_included,prob_scenario,lead_days,n_total,N_downstream,flights_per_year,portfolio_ev_usd,annual_threshold_usd,threshold_per_flight_usd,deaths_averted,vsl,icu_enabled
United_States,A,False,base,10,300000,350000000,438000.0,231322700.8495808,231322700.8495808,528.1340202045224,57.74600250705155,3500000,True
United_States,A,False,base,14,300000,350000000,438000.0,271658711.6283172,271658711.6283172,620.2253690144228,69.07056041274787,3500000,True
United_States,A,False,high,2,300000,350000000,438000.0,441101441.35552,441101441.35552,1007.0809163368036,98.9170990812028,3500000,True
United_States,A,False,high,5,300000,350000000,438000.0,843670769.7679703,843670769.7679703,1926.1889720729916,203.5825996693265,3500000,True
United_States,A,False,high,10,300000,350000000,438000.0,1281975989.006801,1281975989.006801,2926.88581965023,324.06706786484744,3500000,True
United_States,A,False,high,14,300000,350000000,438000.0,1514910816.147558,1514910816.147558,3458.7004934875754,389.5081072080662,3500000,True
United_States,A,True,low,2,300000,350000000,438000.0,11707589.505044255,11707589.505044255,26.72965640421063,3.034417027242665,3500000,True
United_States,A,True,low,5,300000,350000000,438000.0,21558434.90300299,21558434.90300299,49.22017101142235,5.713061376451974,3500000,True
United_States,A,True,low,10,300000,350000000,438000.0,29643013.066924784,29643013.066924784,67.67811202494244,7.953987008231853,3500000,True
United_States,A,True,low,14,300000,350000000,438000.0,32916519.221106008,32916519.221106008,75.15187036782194,8.872356037873894,3500000,True
United_States,A,True,base,2,300000,350000000,438000.0,259206095.081919,259206095.081919,591.7947376299521,67.76728598476961,3500000,True
United_States,A,True,base,5,300000,350000000,438000.0,471950116.0598757,471950116.0598757,1077.5116805019993,125.80598859118729,3500000,True
United_States,A,True,base,10,300000,350000000,438000.0,636976512.132941,636976512.132941,1454.284274276121,171.61189929360344,3500000,True
United_States,A,True,base,14,300000,350000000,438000.0,699367644.0355024,699367644.0355024,1596.7297809029735,189.13566298086673,3500000,True
United_States,A,True,high,2,300000,350000000,438000.0,1682535710.503647,1682535710.503647,3841.4057317434863,447.3531702335088,3500000,True
United_States,A,True,high,5,300000,350000000,438000.0,3067845425.5034466,3067845425.5034466,7004.21330023618,827.8594998584521,3500000,True
United_States,A,True,high,10,300000,350000000,438000.0,4121552667.9903226,4121552667.9903226,9409.937598151422,1121.1283453707106,3500000,True
United_States,A,True,high,14,300000,350000000,438000.0,4508873342.997853,4508873342.997853,10294.231376707428,1229.963825184898,3500000,True
United_States,B,False,low,2,300000,350000000,438000.0,6848021.22078344,6848021.22078344,15.634751645624293,1.4740096210191775,3500000,True
United_States,B,False,low,5,300000,350000000,438000.0,16186682.246807626,16186682.246807626,36.95589554065668,3.8268261367511545,3500000,True
United_States,B,False,low,10,300000,350000000,438000.0,35934754.487059005,35934754.487059005,82.04281846360503,9.152486019382,3500000,True
United_States,B,False,low,14,300000,350000000,438000.0,58728966.48033328,58728966.48033328,134.0843983569253,15.413756633909147,3500000,True
United_States,B,False,base,2,300000,350000000,438000.0,122782878.8756806,122782878.8756806,280.32620747872284,25.569675642924057,3500000,True
United_States,B,False,base,5,300000,350000000,438000.0,282597478.039001,282597478.039001,645.1997215502306,65.19566898795647,3500000,True
United_States,B,False,base,10,300000,350000000,438000.0,611644404.854786,611644404.854786,1396.4484129104703,153.55784084335139,3500000,True
United_States,B,False,base,14,300000,350000000,438000.0,987333574.9347764,987333574.9347764,2254.186244143325,256.7144933681945,3500000,True
United_States,B,False,high,2,300000,350000000,438000.0,653185222.5523946,653185222.5523946,1491.2904624483895,138.9131426212684,3500000,True
United_States,B,False,high,5,300000,350000000,438000.0,1520970178.568297,1520970178.568297,3472.534654265518,356.40399317108097,3500000,True
United_States,B,False,high,10,300000,350000000,438000.0,3312421295.8652697,3312421295.8652697,7562.6056983225335,839.4208556123557,3500000,True
United_States,B,False,high,14,300000,350000000,438000.0,5343693606.663572,5343693606.663572,12200.213713843772,1398.2841019840778,3500000,True
United_States,B,True,low,2,300000,350000000,438000.0,21672851.84449467,21672851.84449467,49.481396905238974,5.635223918208672,3500000,True
