pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,60,496820393.8074452,1035480280.90021,538659887.0927649,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,100,496820393.8074452,1036056947.5571841,539236553.7497389,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,150,496820393.8074452,1036777780.8784015,539957387.0709562,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,10,496820393.8074452,1017983956.321307,521163562.5138617,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,15,496820393.8074452,1018056039.6534287,521235645.84598345,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,25,496820393.8074452,1018200206.3176714,521379812.5102262,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,40,496820393.8074452,1018416456.3140378,521596062.5065926,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,60,496820393.8074452,1018704789.6425254,521884395.8350802,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,100,496820393.8074452,1019281456.2994987,522461062.49205345,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.65,150,496820393.8074452,1020002289.6207173,523181895.81327206,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,10,496820393.8074452,1002457392.8729837,505636999.06553847,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,15,496820393.8074452,1002529476.2051057,505709082.39766043,False
