pathogen,prevalence_tier,follow_up_modality,wbe_detection_prob_q,wbe_false_positive_rate,follow_up_coverage,wbe_cost_per_sample,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,cost_per_test,uc_cumulative_infections,gate_cumulative_infections,delta_cumulative_infections,uc_cumulative_hosp_cases,gate_cumulative_hosp_cases,delta_cumulative_hosp_cases,uc_cumulative_deaths,gate_cumulative_deaths,delta_cumulative_deaths,uc_hospital_cost,gate_hospital_cost,delta_hospital_cost,uc_productivity_cost,gate_productivity_cost,delta_productivity_cost,uc_mortality_cost,gate_mortality_cost,delta_mortality_cost,uc_icu_cost,gate_icu_cost,delta_icu_cost,uc_programme_cost,gate_programme_cost,gate_wbe_sampling_cost,programme_cost_ratio,programme_cost_saving_pct,uc_total_societal_cost,gate_total_societal_cost,delta_total_societal_cost,max_rel_health_deviation
Norovirus,0.5x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,20.0,436440.19924013875,436440.19924013875,0.0,1963.9808965806228,1963.9808965806228,0.0,1.963980896580626,1.963980896580626,0.0,7854035.556135586,7854035.556135586,0.0,1668982.5556788098,1668982.5556788098,0.0,6872281.111618636,6872281.111618636,0.0,353431.6000261013,353431.6000261013,0.0,72083332.12176865,40620207.21267097,0.0,0.563517334965207,43.648266503479306,88832062.94522785,57368938.03613007,-31463124.909097776,0.0
Norovirus,1x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,12.5,3515994.74644286,3515994.74644286,0.0,15821.976358992853,15821.976358992853,0.0,15.821976358992861,15.821976358992861,0.0,63281096.42673493,63281096.42673493,0.0,13447232.99068117,13447232.99068117,0.0,55370959.373393096,55370959.373393096,0.0,2847649.339203066,2847649.339203066,0.0,45052082.57610544,35339645.45045373,0.0,0.7844175769400956,21.55824230599044,179999020.70611778,170286583.58046603,-9712437.125651747,0.0
Norovirus,1x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,100.0,795589.2382805645,795589.2382805645,0.0,3580.1515722625454,3580.1515722625454,0.0,3.580151572262542,3.580151572262542,0.0,14317550.193449419,14317550.193449419,0.0,3042479.4161080006,3042479.4161080006,0.0,12527856.419268236,12527856.419268236,0.0,644289.7587052239,644289.7587052239,0.0,360416660.6088435,282717163.6036298,0.0,0.7844175769400956,21.55824230599044,390948836.3963743,313249339.39116055,-77699497.00521374,0.0
Norovirus,1x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,20.0,795589.2382805645,795589.2382805645,0.0,3580.1515722625454,3580.1515722625454,0.0,3.580151572262542,3.580151572262542,0.0,14317550.193449419,14317550.193449419,0.0,3042479.4161080006,3042479.4161080006,0.0,12527856.419268236,12527856.419268236,0.0,644289.7587052239,644289.7587052239,0.0,72083332.12176865,56543432.72072591,0.0,0.7844175769400954,21.55824230599046,102615507.9092996,87075608.50825681,-15539899.40104279,0.0
Norovirus,2x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,12.5,4451086.452603775,4451086.452603775,0.0,20029.889036716995,20029.889036716995,0.0,20.029889036717023,20.029889036717023,0.0,80110770.52273168,80110770.52273168,0.0,17023538.736080494,17023538.736080494,0.0,70096924.20739037,70096924.20739037,0.0,3604984.673522928,3604984.673522928,0.0,45052082.57610544,42333115.600402646,0.0,0.9396483620682861,6.035163793171394,215888300.71583104,213169333.74012786,-2718966.97570318,0.0
Norovirus,2x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,100.0,1362754.3650850654,1362754.3650850635,-1.862645149230957e-09,6132.394642882792,6132.394642882785,-7.275957614183426e-12,6.132394642882796,6.132394642882788,-7.993605777301127e-15,24525209.282810148,24525209.282810114,-3.3527612686157227e-08,5211606.972597159,5211606.972597154,-5.587935447692871e-09,21459558.122458886,21459558.122458857,-2.9802322387695312e-08,1103634.4177264576,1103634.4177264562,-1.3969838619232178e-09,360416660.6088435,338664924.80322117,0.0,0.9396483620682861,6.035163793171394,412716669.40443623,390964933.5988138,-21751735.80562246,1.3887668244438433e-15
Norovirus,2x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,20.0,1362754.3650850654,1362754.3650850635,-1.862645149230957e-09,6132.394642882792,6132.394642882785,-7.275957614183426e-12,6.132394642882796,6.132394642882788,-7.993605777301127e-15,24525209.282810148,24525209.282810114,-3.3527612686157227e-08,5211606.972597159,5211606.972597154,-5.587935447692871e-09,21459558.122458886,21459558.122458857,-2.9802322387695312e-08,1103634.4177264576,1103634.4177264562,-1.3969838619232178e-09,72083332.12176865,67732984.96064423,0.0,0.9396483620682866,6.035163793171339,124383340.91736141,120032993.7562369,-4350347.161124513,1.3887668244438433e-15
Ebola,0.5x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,12.5,1012.350398820277,1012.350398820277,0.0,820.003823044416,820.0038230444161,1.1368683772161603e-13,523.8913313894875,523.8913313894875,0.0,17027518.088524405,17027518.088524405,0.0,3618347.5938114366,3618347.5938114366,0.0,1813115352.0188034,1813115352.0188034,0.0,8513759.044262202,8513759.044262202,0.0,45052082.57610544,2909825.192951308,0.0,0.06458802848982192,93.54119715101781,1887327059.3215072,1845184801.9383523,-42142257.38315487,1.3864183864354754e-16
Ebola,0.5x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,100.0,93.45294629834672,93.45294629834672,0.0,75.69688650166023,75.69688650166023,0.0,48.361899709394045,48.361899709394045,0.0,1571858.2426503205,1571858.2426503205,0.0,334019.87656319304,334019.87656319304,0.0,167373794.3562841,167373794.3562841,0.0,785929.1213251601,785929.1213251601,0.0,360416660.6088435,23278601.543610465,0.0,0.06458802848982192,93.54119715101781,530482262.2056659,193344203.14043325,-337138059.06523263,0.0
Ebola,0.5x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,20.0,93.45294629834672,93.45294629834672,0.0,75.69688650166023,75.69688650166023,0.0,48.361899709394045,48.361899709394045,0.0,1571858.2426503205,1571858.2426503205,0.0,334019.87656319304,334019.87656319304,0.0,167373794.3562841,167373794.3562841,0.0,785929.1213251601,785929.1213251601,0.0,72083332.12176865,4655720.308722096,0.0,0.06458802848982201,93.5411971510178,242148933.71859124,174721321.9055447,-67427611.81304654,0.0
Ebola,1x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,12.5,2024.5762936964848,2024.5762936964848,0.0,1639.906797894135,1639.906797894135,0.0,1047.7182319879194,1047.7182319879194,0.0,34052951.82112255,34052951.82112255,0.0,7236252.261988546,7236252.261988546,0.0,3626008758.7306414,3626008758.7306414,0.0,17026475.910561275,17026475.910561275,0.0,45052082.57610544,5576405.54388093,0.0,0.12377686501974326,87.62231349802568,3729376521.3004193,3689900844.268195,-39475677.03222418,0.0
Ebola,1x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,100.0,186.90483134158114,186.90483134158114,0.0,151.39291338667948,151.39291338667948,0.0,96.72325021926748,96.72325021926748,0.0,3143698.7185442834,3143698.7185442834,0.0,668035.9776906606,668035.9776906606,0.0,334745696.8820302,334745696.8820302,0.0,1571849.3592721417,1571849.3592721417,0.0,360416660.6088435,44611244.35104744,0.0,0.12377686501974326,87.62231349802568,700545941.546381,384740525.2885847,-315805416.2577963,0.0
Ebola,1x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,20.0,186.90483134158114,186.90483134158114,0.0,151.39291338667948,151.39291338667948,0.0,96.72325021926748,96.72325021926748,0.0,3143698.7185442834,3143698.7185442834,0.0,668035.9776906606,668035.9776906606,0.0,334745696.8820302,334745696.8820302,0.0,1571849.3592721417,1571849.3592721417,0.0,72083332.12176865,8922248.870209493,0.0,0.1237768650197434,87.62231349802566,412212613.0593059,349051529.80774707,-63161083.25155884,0.0
Ebola,2x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,12.5,4048.6547611520127,4048.6547611520127,0.0,3279.410356533092,3279.410356533092,0.0,2095.178838896146,2095.178838896146,0.0,68097569.381905,68097569.381905,0.0,14470733.493654836,14470733.493654836,0.0,7251130073.073218,7251130073.073218,0.0,34048784.690952495,34048784.690952495,0.0,45052082.57610544,10280287.462394148,0.0,0.22818673132430442,77.18132686756955,7412799243.215841,7378027448.102127,-34771795.11371422,0.0
Ebola,2x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,100.0,373.8054179327967,373.8054179327967,0.0,302.78238852556274,302.78238852556274,0.0,193.4443037802208,193.4443037802208,0.0,6287326.374580636,6287326.374580636,0.0,1336056.8545983841,1336056.8545983841,0.0,669483826.9229375,669483826.9229375,0.0,3143663.187290318,3143663.187290318,0.0,360416660.6088435,82242299.69915318,0.0,0.22818673132430442,77.18132686756955,1040667533.9482502,762493173.0385591,-278174360.9096911,0.0
Ebola,2x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.35,10,20.0,373.8054179327967,373.8054179327967,0.0,302.78238852556274,302.78238852556274,0.0,193.4443037802208,193.4443037802208,0.0,6287326.374580636,6287326.374580636,0.0,1336056.8545983841,1336056.8545983841,0.0,669483826.9229375,669483826.9229375,0.0,3143663.187290318,3143663.187290318,0.0,72083332.12176865,16448459.939830616,0.0,0.22818673132430428,77.18132686756958,752334205.4611758,696699333.2792381,-55634872.181937695,0.0
