scenario,avian_included,prob_scenario,lead_days,n_threats,portfolio_ev,cost_per_arriving_flight,expected_deaths_averted_per_year,expected_infections_averted_per_year,flights_per_year,n_total_arrivals_per_day,avg_pax_per_flight,response_modality,vsl,horizon_days,avian_pct,portfolio_view
A_screening_only,True,high,5,5,100585942.8812975,6889.448142554623,27.300699998022825,145203.83044582387,14600.0,10000,250,High-throughput molecular screening,3500000,365,73.12081569129187,A_screening_only_with_avian
A_screening_only,True,high,10,5,135338247.4634564,9269.742976949068,36.98743296199862,156933.50191214037,14600.0,10000,250,High-throughput molecular screening,3500000,365,69.30436205381521,A_screening_only_with_avian
A_screening_only,True,high,14,5,148157610.02934062,10147.781508858947,40.59170288985989,158702.3276139773,14600.0,10000,250,High-throughput molecular screening,3500000,365,66.73184146042523,A_screening_only_with_avian
B_screening_plus_countermeasures,False,low,2,4,213191.93563117727,14.602187371998443,0.04735571248053933,1923.2279218800081,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,5,4,514305.14134084724,35.22637954389365,0.12453970869046319,2951.1543232630916,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,10,4,1164389.1951744899,79.75268460099245,0.30079253512985504,3554.9537725354776,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,14,4,1917667.9359045862,131.3471188975744,0.507969935946762,3725.902254977618,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,2,4,3791522.103105119,259.69329473322733,0.8168372801068602,38451.22557565553,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,5,4,8916441.134033367,610.715146166669,2.113189135699879,58983.6985568935,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,10,4,19728832.674033076,1351.2899091803476,5.035367447059767,70993.5490069607,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
