scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,panel_target,avian_influenza,avian_influenza_label,probability_note,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,expected_annual_contribution,expected_deaths_averted_per_year,expected_infections_averted_per_year,cost_per_arriving_flight_contribution,pct_of_portfolio_ev,portfolio_view
A_screening_only,True,base,2,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,241492178.50591385,965968.7140236554,0.2648852076639305,35.31802768852291,66.16224068655174,11.438214131554815,A_screening_only_with_avian
A_screening_only,True,base,2,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.01,0.15,0.0015,3916852884.104416,5875279.326156624,1.6490113464949898,92.25238302069873,402.41639220250846,69.57026872573311,A_screening_only_with_avian
A_screening_only,True,base,2,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,353436560.6499882,353436.5606499882,0.09959392137991804,0.1924520219901728,24.207983606163573,4.185107658192567,A_screening_only_with_avian
A_screening_only,True,base,2,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,105523812.04786122,422095.2481914449,0.11845655274893503,2.3930616716956505,28.910633437770198,4.998107871024993,A_screening_only_with_avian
A_screening_only,True,base,2,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,41416047.939712554,828320.9587942512,0.09803904582066354,21786.45462681415,56.73431224618159,9.808301613494512,A_screening_only_with_avian
A_screening_only,True,base,5,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,514963782.718466,2059855.130873864,0.5650087329718276,75.33449772957589,141.08596786807288,13.349440109863924,A_screening_only_with_avian
A_screening_only,True,base,5,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.01,0.15,0.0015,7004691610.055396,10507037.415083094,2.949058883860243,164.98231518099277,719.6600969234995,68.09365600640402,A_screening_only_with_avian
A_screening_only,True,base,5,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,806833377.1732329,806833.377173233,0.22738157361756017,0.43938468331896713,55.26256008035842,5.22889871514604,A_screening_only_with_avian
A_screening_only,True,base,5,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,243437617.05326664,973750.4682130666,0.27336127245897174,5.522449948666097,66.69523754884018,6.310649405644192,A_screening_only_with_avian
A_screening_only,True,base,5,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,54139859.62895316,1082797.1925790634,0.1292770389813295,28728.230884739838,74.16419127253859,7.017355762941826,A_screening_only_with_avian
