pathogen,countermeasure_status,trigger_day,reduction_strength,ramp_days,post_intervention_Rt,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
Norovirus,swept,35,0.6,7,0.7,No systematic screening,none,268856335.7469188,306280228.6955449,576621419.3996807,288288090.9126055
Norovirus,swept,35,0.6,14,0.7,No systematic screening,none,271553448.0629357,311951111.80951947,601906581.688174,313573253.201099
Norovirus,swept,35,0.6,21,0.7,No systematic screening,none,272817556.7304193,314602990.6002302,614120817.501472,325787489.014397
Norovirus,swept,35,0.8,7,0.35,No systematic screening,none,267499226.01148286,303642356.8142046,564721977.3440222,276388648.85694736
Norovirus,swept,35,0.8,14,0.35,No systematic screening,none,270666910.2036342,310309393.54723054,594248068.7505888,305914740.26351374
Norovirus,swept,35,0.8,21,0.35,No systematic screening,none,272171098.0899149,313470466.0545225,608949894.2241927,320616565.7371176
Norovirus,swept,50,0.4,7,1.05,No systematic screening,none,275000669.2572526,318855976.76030564,632766108.5517024,344432780.06462735
Norovirus,swept,50,0.4,14,1.05,No systematic screening,none,275055805.0618137,318963464.6717553,633280735.1479905,344947406.6609154
Norovirus,swept,50,0.4,21,1.05,No systematic screening,none,275084111.02489513,319014035.2987847,633518515.1235977,345185186.6365229
Norovirus,swept,50,0.6,7,0.7,No systematic screening,none,274805529.54926693,318727639.0767014,632388977.8029548,344055649.31588024
Norovirus,swept,50,0.6,14,0.7,No systematic screening,none,274876935.81545097,318866758.3649768,633055568.2443194,344722239.75724393
Norovirus,swept,50,0.6,21,0.7,No systematic screening,none,274913927.90586656,318933054.9821546,633367692.8243377,345034364.3372626
Norovirus,swept,50,0.8,7,0.35,No systematic screening,none,274652391.90374243,318625872.4203834,632086689.2566276,343753360.76955295
Norovirus,swept,50,0.8,14,0.35,No systematic screening,none,274735930.2599476,318788606.20783246,632866639.2707244,344533310.7836492
Norovirus,swept,50,0.8,21,0.35,No systematic screening,none,274779592.0060201,318867117.0811345,633236650.9699379,344903322.4828633
Norovirus,none,-1,0.0,-1,1.75,No systematic screening,none,275613655.9885692,319254381.38439614,633915558.8416775,345582230.3546024
Ebola,swept,14,0.4,7,0.96,High-throughput molecular screening,molecular,45433570592.011986,14887649814.571224,1733629848.3272612,1445296519.840188
Ebola,swept,14,0.4,14,0.96,High-throughput molecular screening,molecular,46866870038.90317,15359962185.374735,1777494415.0761826,1489161086.589108
Ebola,swept,14,0.4,21,0.96,High-throughput molecular screening,molecular,48767781792.29286,15986771301.762188,1835724161.9491436,1547390833.4620678
