scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,base_case,3500000,365,33666164.49615061,33666164.49615061,-1750000.0000000075,16607814.535123467,3529160.5887137093,14531837.718232952,747351.6540805511,922597.1657568598,4.151687245905881,166598044.21439442,200264208.71054503,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,high_income,11600000,365,67296988.929775,67296988.929775,-1750000.0000000075,16607814.535123467,3529160.5887137093,48162662.151857466,747351.6540805511,922597.1657568598,4.151687245905881,282016835.45356697,349313824.38334197,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,1x,1.0,low_resource,300000,365,17860191.859235734,17860191.859235734,-1750000.0000000075,14716841.9206274,3127328.9081333075,1103763.1440470414,662257.8864282337,817537.5620740391,3.6789190293331906,143930931.09892133,161791122.95815706,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,1x,1.0,base_case,3500000,365,29633665.395737737,29633665.395737737,-1750000.0000000075,14716841.9206274,3127328.9081333075,12877236.68054898,662257.8864282337,817537.5620740391,3.6789190293331906,203295342.97003013,232929008.36576787,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,1x,1.0,high_income,11600000,365,59435270.28500819,59435270.28500819,-1750000.0000000075,14716841.9206274,3127328.9081333075,42678841.56981942,662257.8864282337,817537.5620740391,3.6789190293331906,353561510.51877415,412996780.80378234,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,2x,2.0,low_resource,300000,365,13961883.769511849,13961883.769511849,-1750000.0000000075,11791282.37862043,2505647.5054568537,884346.1783965416,530607.707037915,655012.9983218666,2.9475584924483798,164360011.39975375,178321895.1692656,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,2x,2.0,base_case,3500000,365,23394909.672408044,23394909.672408044,-1750000.0000000075,11791282.37862043,2505647.5054568537,10317372.081292927,530607.707037915,655012.9983218666,2.9475584924483798,235989537.14753526,259384446.8199433,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,2x,2.0,high_income,11600000,365,47272256.48911506,47272256.48911506,-1750000.0000000075,11791282.37862043,2505647.5054568537,34194718.89799914,530607.707037915,655012.9983218666,2.9475584924483798,417301774.19660646,464574030.6857215,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.1x,0.1,low_resource,300000,365,14382404.392097533,14382404.392097533,-1999999.9999999404,12294487.348665956,2612578.5615915107,922086.5511499485,553251.9306899699,683083.684737888,3.0738765813203153,379161174.83271027,393543579.2248078,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.1x,0.1,base_case,3500000,365,24217994.27102995,24217994.27102995,-1999999.9999999404,12294487.348665956,2612578.5615915107,10757676.430082709,553251.9306899699,683083.684737888,3.0738765813203153,390414916.9558575,414632911.22688746,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
