scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,high_income,11600000,365,1970242604.923788,1970242604.923788,-1750000.0000000075,10744462.52925974,2283198.2874677046,1958562026.7622142,402917.34484724177,3415.9818077667383,169.091099484448,2220757345.872753,4190999950.796541,21,35,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,1x,1.0,low_resource,300000,365,126265607.16339812,126265607.16339812,-1750000.0000000075,21463694.614222463,4561035.10552226,101185988.89562,804888.5480333403,6823.896419881424,337.78287278411995,186430889.00398716,312696496.1673853,21,35,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,1x,1.0,base_case,3500000,365,1205582822.0500069,1205582822.0500069,-1750000.0000000075,21463694.614222463,4561035.10552226,1180503203.7822325,804888.5480333403,6823.896419881424,337.78287278411995,1378415077.3300805,2583997899.3800874,21,35,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,1x,1.0,high_income,11600000,365,3937604522.2317476,3937604522.2317476,-1750000.0000000075,21463694.614222463,4561035.10552226,3912524903.9639683,804888.5480333403,6823.896419881424,337.78287278411995,4395625054.030502,8333229576.26225,21,35,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,2x,2.0,low_resource,300000,365,253681495.40791863,253681495.40791863,-1750000.0000000075,42826837.55342353,9100702.98010252,201897948.46613893,1606006.4082533855,13615.642830115836,673.9743200907141,327700956.7596896,581382452.1676083,21,35,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,2x,2.0,base_case,3500000,365,2407259612.380085,2407259612.380085,-1750000.0000000075,42826837.55342353,9100702.98010252,2355476065.4382977,1606006.4082533855,13615.642830115836,673.9743200907141,2710752542.6907434,5118012155.070828,21,35,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,2x,2.0,high_income,11600000,365,7858504220.965845,7858504220.965845,-1750000.0000000075,42826837.55342353,9100702.98010252,7806720674.024069,1606006.4082533855,13615.642830115836,673.9743200907141,8742851869.578726,16601356090.54457,21,35,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.1x,0.1,low_resource,300000,365,-646273.8786860704,0.0,-1999999.9999999404,226972.04429225612,48231.55941210445,1070011.065949206,8511.451660959608,72.11632621137247,3.569758147462763,362238747.1420355,361592473.2633494,21,23,1.5,5.5,10.5,70.0,0.04,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.1x,0.1,base_case,3500000,365,10767177.49143964,10767177.49143964,-1999999.9999999404,226972.04429225612,48231.55941210445,12483462.436074093,8511.451660959608,72.11632621137247,3.569758147462763,377601009.64942354,388368187.1408632,21,23,1.5,5.5,10.5,70.0,0.04,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.1x,0.1,high_income,11600000,365,39657476.272067726,39657476.272067726,-1999999.9999999404,226972.04429225612,48231.55941210445,41373761.21670272,8511.451660959608,72.11632621137247,3.569758147462763,416486736.6212505,456144212.89331824,21,23,1.5,5.5,10.5,70.0,0.04,0.97
